timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778731234572,4050,T01_Login,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 1, number of failing samples : 1",Virtual Student 1-1,,false,,2660,0,2,2,null,0,3505,4049
1778731234763,4050,POST API Login,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: This is usually a temporary error during hostname resolution and means that the local server did not receive a response from an authoritative server (ilmu-dev.tmrnd.dev),Virtual Student 1-1,text,false,ACCESS_TOKEN not extracted from login response,2660,0,1,1,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,0,0,4049
1778731239484,1,T01_Login,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 1, number of failing samples : 1",Virtual Student 1-2,,false,,2168,0,2,2,null,0,2642,1
1778731239487,1,POST API Login,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-2,text,false,ACCESS_TOKEN not extracted from login response,2168,0,2,2,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,0,0,1
1778731242133,71,T02_Learning_Assessment,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 6, number of failing samples : 5",Virtual Student 1-2,,false,,10840,0,2,2,null,0,440,5
1778731242133,1,GET Learning Assessment Page/API,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-2,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,0,0,1
1778731242128,72,T02_Learning_Assessment,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 6, number of failing samples : 5",Virtual Student 1-1,,false,,10840,0,2,2,null,0,445,5
1778731242136,1,GET Questionnaire Page,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-2,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,0,0,1
1778731242128,1,GET Learning Assessment Page/API,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-1,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,0,0,1
1778731242139,1,POST User Questionnaire Session ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-2,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,0,0,1
1778731242142,1,GET newUserQuestionnaire Page,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-2,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/NOT_FOUND,0,0,1
1778731242144,1,GET All Questions,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-2,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,0,0,1
1778731242133,0,GET Questionnaire Page,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-1,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,0,0,0
1778731242578,66,Log Assessment Completion & Summary,200,Assessment complete - all 26 answers submitted,Virtual Student 1-2,text,true,,0,0,2,2,null,0,0,0
1778731242136,4,POST User Questionnaire Session ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-1,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,0,0,4
1778731242143,0,GET newUserQuestionnaire Page,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-1,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/NOT_FOUND,0,0,0
1778731242144,0,GET All Questions,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-1,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,0,0,0
1778731242578,67,Log Assessment Completion & Summary,200,Assessment complete - all 26 answers submitted,Virtual Student 1-1,text,true,,0,0,2,2,null,0,0,0
1778731242651,74,T03_Learning_Space,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 41, number of failing samples : 41",Virtual Student 1-2,,false,,131913,0,2,2,null,0,773,69
1778731242652,0,GET Subscription Active,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-2,text,false,,2168,0,2,2,https://ilmu-dev.tmrnd.dev/subscription/v1/user-subscriptions/me/active,0,0,0
1778731242656,1,GET Tags By SubjectIds,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: ilmu-dev.tmrnd.dev,Virtual Student 1-2,text,false,,2168,0,2,2,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags?subjectIds=2,14,15,6,7",0,0,1
