timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778657231095,20108,T01_Login,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Virtual Student 1-1,,false,,2670,0,1,1,null,0,3339,20107
1778657231183,20108,POST API Login,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,ACCESS_TOKEN not extracted from login response,2670,0,1,1,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,0,0,20107
1778657254554,100085,T02_Learning_Assessment,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,"Number of samples in transaction : 6, number of failing samples : 5",Virtual Student 1-1,,false,,13350,0,1,1,null,0,197,100051
1778657254555,20004,GET Learning Assessment Page/API,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,0,0,20003
1778657274562,20010,GET Questionnaire Page,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,0,0,20010
1778657294575,20012,POST User Questionnaire Session ID,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,0,0,20012
1778657314591,20013,GET newUserQuestionnaire Page,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/NOT_FOUND,0,0,20013
1778657334610,20013,GET All Questions,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to ilmu-dev.tmrnd.dev:443 [ilmu-dev.tmrnd.dev/202.165.25.39] failed: Connect timed out,Virtual Student 1-1,text,false,,2670,0,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,0,0,20013
1778657354803,33,Log Assessment Completion & Summary,200,Assessment complete - all 26 answers submitted,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778657354838,620207,T03_Learning_Space,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,"Number of samples in transaction : 41, number of failing samples : 41",Virtual Student 1-1,,false,,93050,12746,1,1,null,0,239,601891
